ID,subject,inst1_RT,inst2_RT,inst3_RT,comprehension1_RT,comprehension1_error,comprehension2_RT,comprehension2_error,gold_successrate,room1preference,action_repeating,choice_consistency,selection_mRT,selection_dRT,selection_timeout,skip_survey,attention_check_fail,straightlining,zigzagging,task_outliers,survey_outliers,outliers
n4flhtbe8lys59tyjk6l382u,125,63.48,25.747,84.45,43.931,2,46.159,2,0.8333333333333334,1.0,0.507,0.833,2.71101,2.25275,0,24,2,0.7948717948717948,0.08333333333333333,false,true,true
n59q47k345eyhe7simycvjva,126,209.506,105.697,198.25,73.872,1,114.144,2,1.0,1.0,0.577,0.861,6.3431,3.17044,1,0,0,0.35897435897435903,0.4166666666666667,false,false,false
n6d1ub1pa6vh3f63yvrhfck6,127,134.705,56.179,122.943,46.665,0,44.027,0,1.0,1.0,0.493,0.889,8.42354,2.76629,0,0,0,0.358974358974359,0.3333333333333333,false,false,false
n9y3z62tykxrtybt8ivp4zwn,128,110.234,52.532,88.146,47.229,1,44.344,1,1.0,1.0,0.507,0.861,4.69475,5.17878,0,0,0,0.4102564102564103,0.3611111111111111,false,false,false
ncctdxu6lx4ge1ztmgtwgcp8,129,143.556,39.788,90.473,44.4,0,45.058,0,1.0,1.0,0.577,1.0,6.07215,4.26561,0,0,0,0.4102564102564103,0.47222222222222227,false,false,false
ndj0j0k4cq97ihraezz7ni1u,130,106.987,76.133,127.723,78.844,0,96.635,1,1.0,1.0,0.465,0.889,8.38397,5.30672,2,0,0,0.5897435897435898,0.4166666666666667,false,false,false
ndoverpa0lk6318k47dcna4x,131,362.384,52.129,101.577,45.64,0,46.232,2,1.0,1.0,0.535,0.833,7.61785,2.76805,1,0,0,0.3846153846153846,0.3333333333333333,false,false,false
neegra4nnnmxwmaqcf0fkjkr,132,123.745,41.131,98.274,67.13,1,71.124,3,1.0,0.75,0.577,0.583,3.97682,2.54016,1,0,0,0.35897435897435903,0.27777777777777773,false,false,false
nltyxrn7lkh6tsuhdbqm0u71,133,112.995,52.107,126.753,48.165,0,84.074,2,1.0,1.0,0.507,0.944,5.35994,3.99957,0,0,0,0.4615384615384615,0.4444444444444445,false,false,false
nqcplv3o2mw7ktgok0keya0q,134,161.347,55.089,166.037,88.67,2,64.296,0,1.0,1.0,0.62,0.861,4.72262,2.06116,0,0,0,0.38461538461538464,0.4444444444444445,false,false,false
nrbanshvydi15z1z46nb06mu,135,129.095,42.001,85.742,40.401,0,49.935,0,1.0,1.0,0.634,1.0,5.35325,2.9939,0,6,0,0.3333333333333333,0.3333333333333333,false,true,true
nruoyzyqlexisn9w440vps1f,136,248.211,118.784,239.542,41.612,0,53.249,0,1.0,1.0,0.423,1.0,7.86228,4.49179,0,0,2,0.7179487179487181,0.3888888888888889,false,true,true
nucubw2zhffa7nhp0ql6q2xm,137,102.519,39.496,93.308,35.029,0,28.732,0,1.0,1.0,0.507,0.917,3.43982,1.71007,0,0,0,0.3846153846153846,0.36111111111111116,false,false,false
ocn1fs0jeee35wlsb6uj4nju,138,108.494,59.092,130.823,34.343,1,67.111,4,1.0,1.0,0.577,0.944,4.86769,2.34579,0,0,0,0.38461538461538464,0.38888888888888884,false,false,false
ogu0ndltg9wyojxy52ccslqb,139,81.407,14.933,56.262,33.606,1,29.116,0,1.0,1.0,0.535,0.944,2.98504,1.87032,0,0,0,0.4102564102564103,0.25,false,false,false
oi637gltwdr2mpto3a574z7x,140,261.682,473.299,130.087,66.98,0,45.43,0,1.0,1.0,0.563,0.75,4.63949,1.9179,0,0,0,0.48717948717948717,0.3611111111111111,false,false,false
ongnqa011x55anj4k4mzed4j,141,211.997,31.912,151.244,62.381,0,76.393,2,1.0,1.0,0.493,0.917,4.41376,4.45174,1,0,1,0.3333333333333333,0.47222222222222227,false,false,false
