trial,GB_condition,subject,ID,timeout,rt,room1,room2,action,chosenroom,gold,bomb,Gtrials
122,true,1,00r4qa1apg61e9jrg8f7dmym,false,1009,2,8,0,2,42.875,18.5,0
123,true,1,00r4qa1apg61e9jrg8f7dmym,false,1863,8,9,0,8,42.875,19.25,0
124,true,1,00r4qa1apg61e9jrg8f7dmym,false,818,8,0,1,0,42.875,19.25,0
125,true,1,00r4qa1apg61e9jrg8f7dmym,false,981,5,9,0,5,42.875,19.75,0
126,true,1,00r4qa1apg61e9jrg8f7dmym,false,1193,9,0,1,0,42.875,19.75,0
127,true,1,00r4qa1apg61e9jrg8f7dmym,false,713,0,2,0,0,42.875,19.75,0
128,true,1,00r4qa1apg61e9jrg8f7dmym,false,3547,7,4,0,7,42.875,20.375,0
129,true,1,00r4qa1apg61e9jrg8f7dmym,false,1173,4,1,1,1,42.875,20.5,0
130,true,1,00r4qa1apg61e9jrg8f7dmym,false,1372,7,2,1,2,42.875,21.0,0
131,true,1,00r4qa1apg61e9jrg8f7dmym,false,947,1,8,0,1,42.875,21.5,0
132,true,1,00r4qa1apg61e9jrg8f7dmym,false,1051,7,5,1,5,42.875,22.0,0
133,true,1,00r4qa1apg61e9jrg8f7dmym,false,784,7,0,1,0,42.875,22.0,0
134,true,1,00r4qa1apg61e9jrg8f7dmym,false,1613,8,5,1,5,42.875,22.5,0
135,true,1,00r4qa1apg61e9jrg8f7dmym,false,1175,9,5,1,5,42.875,23.0,0
136,true,1,00r4qa1apg61e9jrg8f7dmym,false,1534,7,8,1,8,42.875,23.75,0
137,true,1,00r4qa1apg61e9jrg8f7dmym,false,1516,5,2,0,5,42.875,24.25,0
138,true,1,00r4qa1apg61e9jrg8f7dmym,false,2916,9,4,1,4,42.875,25.0,0
139,true,1,00r4qa1apg61e9jrg8f7dmym,false,1603,8,7,0,8,42.875,25.75,0
140,true,1,00r4qa1apg61e9jrg8f7dmym,false,1196,8,4,0,8,42.875,26.5,0
141,true,1,00r4qa1apg61e9jrg8f7dmym,false,941,9,2,1,2,42.875,27.0,0
142,true,1,00r4qa1apg61e9jrg8f7dmym,false,1088,5,1,0,5,42.875,27.5,0
143,true,1,00r4qa1apg61e9jrg8f7dmym,false,1385,7,9,0,7,42.875,27.625,0
144,true,1,00r4qa1apg61e9jrg8f7dmym,false,974,2,1,0,2,42.875,28.125,0
1,false,2,01z6l1ieafq2fmtibm2ixuad,false,5056,1,5,1,5,0.0,0.5,0
2,false,2,01z6l1ieafq2fmtibm2ixuad,false,3434,7,0,1,0,0.0,0.5,0
3,false,2,01z6l1ieafq2fmtibm2ixuad,false,3452,9,2,1,2,0.0,1.0,0
4,false,2,01z6l1ieafq2fmtibm2ixuad,false,6972,4,6,1,6,0.0,1.6666666666666667,0
5,false,2,01z6l1ieafq2fmtibm2ixuad,false,6057,7,8,0,7,0.0,2.291666666666667,0
6,false,2,01z6l1ieafq2fmtibm2ixuad,false,5273,6,1,1,1,0.0,2.791666666666667,0
7,false,2,01z6l1ieafq2fmtibm2ixuad,false,3962,0,6,0,0,0.0,2.791666666666667,0
8,false,2,01z6l1ieafq2fmtibm2ixuad,false,6903,4,5,1,5,0.0,2.5,0
9,false,2,01z6l1ieafq2fmtibm2ixuad,false,2174,2,0,1,0,0.0,2.5,0
10,false,2,01z6l1ieafq2fmtibm2ixuad,false,8648,9,4,0,9,0.0,3.25,0
11,false,2,01z6l1ieafq2fmtibm2ixuad,false,5655,4,2,1,2,0.0,3.75,0
12,false,2,01z6l1ieafq2fmtibm2ixuad,false,8493,6,5,1,5,0.0,4.25,0
13,false,2,01z6l1ieafq2fmtibm2ixuad,false,5272,6,9,0,6,0.0,4.916666666666667,0
14,false,2,01z6l1ieafq2fmtibm2ixuad,false,5158,8,1,1,1,0.0,5.416666666666667,0
15,false,2,01z6l1ieafq2fmtibm2ixuad,false,3293,1,8,0,1,0.0,5.5,0
16,false,2,01z6l1ieafq2fmtibm2ixuad,false,5917,8,4,0,8,0.0,6.25,0
17,false,2,01z6l1ieafq2fmtibm2ixuad,false,5885,7,2,1,2,0.0,6.75,0
18,false,2,01z6l1ieafq2fmtibm2ixuad,false,4597,9,0,1,0,0.0,6.75,0
19,false,2,01z6l1ieafq2fmtibm2ixuad,false,4961,5,0,1,0,0.0,6.75,0
20,false,2,01z6l1ieafq2fmtibm2ixuad,false,5512,2,4,0,2,0.0,7.25,0
21,false,2,01z6l1ieafq2fmtibm2ixuad,false,2388,9,1,1,1,0.0,7.75,0
22,false,2,01z6l1ieafq2fmtibm2ixuad,false,2735,9,6,1,6,0.0,7.666666666666667,0
23,false,2,01z6l1ieafq2fmtibm2ixuad,false,3075,8,7,1,7,0.0,8.291666666666668,0
24,false,2,01z6l1ieafq2fmtibm2ixuad,false,1523,8,0,1,0,0.0,8.291666666666668,0
25,false,2,01z6l1ieafq2fmtibm2ixuad,false,3723,5,8,0,5,0.0,8.791666666666668,0
26,false,2,01z6l1ieafq2fmtibm2ixuad,false,2209,1,7,0,1,0.0,9.291666666666668,0
27,false,2,01z6l1ieafq2fmtibm2ixuad,false,2307,5,1,1,1,0.0,9.791666666666668,0
28,false,2,01z6l1ieafq2fmtibm2ixuad,false,2189,0,7,0,0,0.0,9.791666666666668,0
29,false,2,01z6l1ieafq2fmtibm2ixuad,false,6891,5,7,1,7,0.0,9.625,0
30,false,2,01z6l1ieafq2fmtibm2ixuad,false,3100,7,9,0,7,0.0,10.25,0
31,false,2,01z6l1ieafq2fmtibm2ixuad,false,4679,7,6,1,6,0.0,10.916666666666666,0
32,false,2,01z6l1ieafq2fmtibm2ixuad,false,3816,7,1,1,1,0.0,11.416666666666666,0
33,false,2,01z6l1ieafq2fmtibm2ixuad,false,2477,4,7,1,7,0.0,12.041666666666666,0
34,false,2,01z6l1ieafq2fmtibm2ixuad,false,2751,8,2,1,2,0.0,12.541666666666666,0
35,false,2,01z6l1ieafq2fmtibm2ixuad,false,2175,0,5,0,0,0.0,12.541666666666666,0
36,false,2,01z6l1ieafq2fmtibm2ixuad,false,2728,1,0,1,0,0.0,12.0,0
37,false,2,01z6l1ieafq2fmtibm2ixuad,false,4148,7,5,0,7,0.0,12.625,0
38,false,2,01z6l1ieafq2fmtibm2ixuad,false,1211,0,9,0,0,0.0,12.625,0
39,false,2,01z6l1ieafq2fmtibm2ixuad,false,5329,6,4,0,6,0.0,13.291666666666666,0
40,false,2,01z6l1ieafq2fmtibm2ixuad,false,3175,9,7,1,7,0.0,13.916666666666666,0
41,false,2,01z6l1ieafq2fmtibm2ixuad,false,4239,4,9,0,4,0.0,14.666666666666666,0
42,false,2,01z6l1ieafq2fmtibm2ixuad,false,3010,4,0,1,0,0.0,14.666666666666666,0
43,false,2,01z6l1ieafq2fmtibm2ixuad,false,4558,7,4,0,7,0.0,14.625,0
44,false,2,01z6l1ieafq2fmtibm2ixuad,false,5967,4,8,1,8,0.0,15.375,0
45,false,2,01z6l1ieafq2fmtibm2ixuad,false,7271,8,5,1,5,0.0,15.875,0
46,false,2,01z6l1ieafq2fmtibm2ixuad,false,1696,0,4,0,0,0.0,15.875,0
47,false,2,01z6l1ieafq2fmtibm2ixuad,false,2852,0,8,0,0,0.0,15.875,0
48,false,2,01z6l1ieafq2fmtibm2ixuad,false,2449,2,9,0,2,0.0,16.375,0
49,false,2,01z6l1ieafq2fmtibm2ixuad,false,2390,2,8,0,2,0.0,16.875,0
50,false,2,01z6l1ieafq2fmtibm2ixuad,false,6068,6,8,0,6,0.0,16.666666666666668,0
51,false,2,01z6l1ieafq2fmtibm2ixuad,false,3478,5,4,0,5,0.0,17.166666666666668,0
52,false,2,01z6l1ieafq2fmtibm2ixuad,false,2566,1,4,0,1,0.0,17.666666666666668,0
53,false,2,01z6l1ieafq2fmtibm2ixuad,false,1189,0,2,0,0,0.0,17.666666666666668,0
54,false,2,01z6l1ieafq2fmtibm2ixuad,false,3591,4,1,1,1,0.0,18.166666666666668,0
55,false,2,01z6l1ieafq2fmtibm2ixuad,false,1929,9,5,1,5,0.0,18.666666666666668,0
56,false,2,01z6l1ieafq2fmtibm2ixuad,false,1827,6,0,1,0,0.0,18.666666666666668,0
57,false,2,01z6l1ieafq2fmtibm2ixuad,false,4445,1,6,0,1,0.0,18.5,0
58,false,2,01z6l1ieafq2fmtibm2ixuad,false,2229,5,2,1,2,0.0,19.0,0
59,false,2,01z6l1ieafq2fmtibm2ixuad,false,1405,0,1,0,0,0.0,19.0,0
60,false,2,01z6l1ieafq2fmtibm2ixuad,false,4191,8,6,1,6,0.0,19.666666666666668,0
61,false,2,01z6l1ieafq2fmtibm2ixuad,false,1892,6,2,1,2,0.0,20.166666666666668,0
62,false,2,01z6l1ieafq2fmtibm2ixuad,false,4074,2,1,1,1,0.0,20.666666666666668,0
63,false,2,01z6l1ieafq2fmtibm2ixuad,false,4106,2,6,0,2,0.0,21.166666666666668,0
64,false,2,01z6l1ieafq2fmtibm2ixuad,false,2027,5,9,0,5,0.0,21.5,0
65,false,2,01z6l1ieafq2fmtibm2ixuad,false,2250,8,9,0,8,0.0,22.25,0
66,false,2,01z6l1ieafq2fmtibm2ixuad,false,2342,2,7,1,7,0.0,22.875,0
67,false,2,01z6l1ieafq2fmtibm2ixuad,false,5965,9,8,1,8,0.0,23.625,0
68,false,2,01z6l1ieafq2fmtibm2ixuad,false,2887,5,6,0,5,0.0,24.125,0
69,false,2,01z6l1ieafq2fmtibm2ixuad,false,3955,2,5,1,5,0.0,24.625,0
70,false,2,01z6l1ieafq2fmtibm2ixuad,false,3727,1,2,0,1,0.0,25.125,0
71,false,2,01z6l1ieafq2fmtibm2ixuad,false,5125,6,7,0,6,0.0,25.666666666666668,0
72,false,2,01z6l1ieafq2fmtibm2ixuad,false,1980,1,9,0,1,0.0,26.166666666666668,0
73,false,2,01z6l1ieafq2fmtibm2ixuad,false,5176,1,5,0,1,0.5,26.166666666666668,1
74,false,2,01z6l1ieafq2fmtibm2ixuad,false,1872,7,0,1,0,1.5,26.166666666666668,1
75,false,2,01z6l1ieafq2fmtibm2ixuad,false,2955,9,2,1,2,2.0,26.166666666666668,1
76,false,2,01z6l1ieafq2fmtibm2ixuad,false,6737,4,6,1,6,2.3333333333333335,26.166666666666668,1
77,false,2,01z6l1ieafq2fmtibm2ixuad,false,3329,7,8,0,7,2.7083333333333335,26.166666666666668,1
78,false,2,01z6l1ieafq2fmtibm2ixuad,false,4115,6,1,1,1,3.2083333333333335,26.166666666666668,1
79,false,2,01z6l1ieafq2fmtibm2ixuad,false,2834,0,6,0,0,4.208333333333334,26.166666666666668,1
80,false,2,01z6l1ieafq2fmtibm2ixuad,false,5159,4,5,1,5,5.5,26.166666666666668,1
81,false,2,01z6l1ieafq2fmtibm2ixuad,false,2184,2,0,1,0,6.5,26.166666666666668,1
82,false,2,01z6l1ieafq2fmtibm2ixuad,false,2319,9,4,1,4,6.75,26.166666666666668,1
